ColumnName,DataType
Id,int64
MSSubClass,int64
MSZoning,object
LotFrontage,float64
LotArea,int64
Street,object
Alley,object
LotShape,object
LandContour,object
Utilities,object
LotConfig,object
LandSlope,object
Neighborhood,object
Condition1,object
Condition2,object
BldgType,object
HouseStyle,object
OverallQual,int64
OverallCond,int64
YearBuilt,int64
YearRemodAdd,int64
RoofStyle,object
RoofMatl,object
Exterior1st,object
Exterior2nd,object
MasVnrType,object
MasVnrArea,float64
ExterQual,object
ExterCond,object
Foundation,object
BsmtQual,object
BsmtCond,object
BsmtExposure,object
BsmtFinType1,object
BsmtFinSF1,float64
BsmtFinType2,object
BsmtFinSF2,float64
BsmtUnfSF,float64
TotalBsmtSF,float64
Heating,object
HeatingQC,object
CentralAir,object
Electrical,object
1stFlrSF,int64
2ndFlrSF,int64
LowQualFinSF,int64
GrLivArea,int64
BsmtFullBath,float64
BsmtHalfBath,float64
FullBath,int64
HalfBath,int64
BedroomAbvGr,int64
KitchenAbvGr,int64
KitchenQual,object
TotRmsAbvGrd,int64
Functional,object
Fireplaces,int64
FireplaceQu,object
GarageType,object
GarageYrBlt,float64
GarageFinish,object
GarageCars,float64
GarageArea,float64
GarageQual,object
GarageCond,object
PavedDrive,object
WoodDeckSF,int64
OpenPorchSF,int64
EnclosedPorch,int64
3SsnPorch,int64
ScreenPorch,int64
PoolArea,int64
PoolQC,object
Fence,object
MiscFeature,object
MiscVal,int64
MoSold,int64
YrSold,int64
SaleType,object
SaleCondition,object
